"","plot","Date","cluster","tag","species","status","alive_class","dead_class","slc","canker","dbh","lide_lf_symp","sod_dead","location","notes","year"
"145","JROTH02","4/8/2014 0:00:00",6,"235","UMCA","Alive",1,NA,57,0,30.8,0,0,"In","HC",2014
"146","JROTH02","4/8/2014 0:00:00",16,"4257","UMCA","Alive",1,NA,1,0,22.2,0,0,"Out","HC",2014
"147","JROTH02","4/8/2014 0:00:00",17,"1913","UMCA","Alive",2,NA,164,0,25,0,0,"Out","AG, looks like nurse log",2014
"148","JROTH02","4/8/2014 0:00:00",10,"196","UMCA","Alive",1,NA,7,0,36.3,0,0,"In","HC",2014
"149","JROTH02","4/8/2014 0:00:00",8,"4256","UMCA","Alive",1,NA,0,0,24,0,0,"In","HC",2014
"150","JROTH02","4/8/2014 0:00:00",8,"254","UMCA","Alive",1,NA,1,0,21.1,0,0,"In","HC",2014
"151","JROTH02","4/8/2014 0:00:00",7,"299","UMCA","Alive",1,NA,43,0,46.3,0,0,"Out","HC",2014
"152","JROTH02","4/8/2014 0:00:00",5,"265","UMCA","Alive",1,NA,135,0,23.2,0,0,"In","",2014
"153","JROTH02","4/8/2014 0:00:00",4,"198","UMCA","Alive",1,NA,42,0,38.4,0,0,"Out","",2014
"154","JROTH02","4/8/2014 0:00:00",3,"276","UMCA","Alive",1,NA,56,0,48.9,0,0,"Out","DBH marked at 1.7m",2014
"155","JROTH02","4/8/2014 0:00:00",11,"181","UMCA","Alive",1,NA,80,0,NA,0,0,"Out","",2014
"156","JROTH02","4/8/2014 0:00:00",2,"152","UMCA","Alive",1,NA,102,0,26.8,0,0,"Out","",2014
"157","JROTH02","4/8/2014 0:00:00",1,"243","UMCA","Alive",1,NA,30,0,45.4,0,0,"Out","HC",2014
"158","JROTH02","4/8/2014 0:00:00",5,"4375","UMCA","Alive",1,NA,20,0,49.3,0,0,"In","HC",2014
"159","JROTH02","4/8/2014 0:00:00",1,"1912","QUKE","Dead",NA,4,NA,0,27,0,0,"In","DG, DBH estimated",2014
"160","JROTH02","4/8/2014 0:00:00",1,"1911","QUKE","Dead",NA,4,NA,0,35,0,1,"In","DG, DBH estimated",2014
"161","JROTH03","4/8/2014 0:00:00",8,"257","UMCA","Alive",1,NA,11,0,31.8,0,0,"In","HC",2014
"162","JROTH03","4/8/2014 0:00:00",8,"4802","UMCA","Alive",1,NA,12,0,5,0,0,"In","",2014
"163","JROTH03","4/8/2014 0:00:00",8,"4801","UMCA","Alive",1,NA,44,0,5.8,0,0,"In","",2014
"164","JROTH03","4/8/2014 0:00:00",8,"293","UMCA","Alive",1,NA,1,0,28.8,0,0,"In","HC",2014
"165","JROTH03","4/8/2014 0:00:00",8,"290","UMCA","Alive",1,NA,47,0,34,0,0,"In","HC",2014
"166","JROTH03","4/8/2014 0:00:00",8,"4803","UMCA","Alive",1,NA,8,0,8.1,0,0,"In","",2014
"167","JROTH03","4/8/2014 0:00:00",8,"285","UMCA","Alive",1,NA,0,0,36,0,0,"In","HC",2014
"168","JROTH03","4/8/2014 0:00:00",8,"6712","UMCA","Alive",1,NA,57,0,5.1,0,0,"In","",2014
"169","JROTH03","4/8/2014 0:00:00",8,"216","UMCA","Alive",1,NA,0,0,25.7,0,0,"In","HC",2014
"170","JROTH03","4/8/2014 0:00:00",8,"199","UMCA","Dead",NA,3,NA,0,27.5,0,0,"In","DG, LL, ID, soft in spots",2014
"171","JROTH03","4/8/2014 0:00:00",8,"289","UMCA","X- Stem Missing",NA,NA,NA,0,NA,0,0,"In","",2014
"172","JROTH03","4/8/2014 0:00:00",8,"4804","UMCA","Dead",NA,2,NA,0,3.7,0,0,"In","",2014
"173","JROTH03","4/8/2014 0:00:00",8,"4805","UMCA","Alive",1,NA,46,0,11.6,0,0,"In","",2014
"174","JROTH03","4/8/2014 0:00:00",8,"4807","UMCA","Alive",1,NA,26,0,8.3,0,0,"In","",2014
"175","JROTH03","4/8/2014 0:00:00",9,"250","UMCA","Alive",1,NA,25,0,16.6,0,0,"In","",2014
"176","JROTH03","4/8/2014 0:00:00",10,"268","UMCA","Alive",1,NA,20,0,12.5,0,0,"In","",2014
"177","JROTH03","4/8/2014 0:00:00",11,"4412","UMCA","Alive",1,NA,89,0,7.5,0,0,"In","",2014
"178","JROTH03","4/8/2014 0:00:00",12,"4413","UMCA","Alive",1,NA,34,0,27.4,0,0,"In","HC",2014
"179","JROTH03","4/8/2014 0:00:00",13,"412c","UMCA","X- Stem Missing",NA,NA,NA,0,NA,0,0,"Out","",2014
"180","JROTH03","4/8/2014 0:00:00",8,"165","UMCA","Alive",1,NA,0,0,63,0,0,"In","HC",2014
"181","JROTH03","4/8/2014 0:00:00",8,"4896","UMCA","Alive",1,NA,15,0,7.6,0,0,"In","",2014
"182","JROTH03","4/8/2014 0:00:00",8,"4856","UMCA","Alive",2,NA,2,0,4.6,0,0,"In","HC",2014
"183","JROTH03","4/8/2014 0:00:00",8,"4806","UMCA","Alive",1,NA,17,0,7.8,0,0,"In","",2014
"184","JROTH03","4/8/2014 0:00:00",2,"286","UMCA","Alive",1,NA,8,0,23.9,0,0,"Out","HC",2014
"185","JROTH03","4/8/2014 0:00:00",5,"778","QUAG","Dead",NA,4,NA,0,22,0,0,"In","",2014
"186","JROTH03","4/8/2014 0:00:00",5,"777","QUAG","Dead",NA,4,NA,0,25,0,0,"In","",2014
"187","JROTH03","4/8/2014 0:00:00",5,"776","QUAG","Dead",NA,3,NA,0,41.8,0,0,"In","",2014
"188","JROTH03","4/8/2014 0:00:00",5,"775","QUAG","Dead",NA,4,NA,0,36.8,0,0,"In","",2014
"189","JROTH03","4/8/2014 0:00:00",4,"780","QUAG","Dead",NA,3,NA,0,50.9,0,0,"In","",2014
"190","JROTH03","4/8/2014 0:00:00",3,"782","QUAG","Dead",NA,2,NA,0,28.8,0,0,"In","",2014
"191","JROTH03","4/8/2014 0:00:00",3,"781","QUAG","Dead",NA,4,NA,0,48.7,0,0,"In","",2014
"192","JROTH03","4/8/2014 0:00:00",2,"784","QUAG","Dead",NA,4,NA,0,47,0,0,"In","",2014
"193","JROTH03","4/8/2014 0:00:00",8,"197","UMCA","Dead",NA,2,NA,0,19.3,0,0,"In","",2014
"194","JROTH03","4/8/2014 0:00:00",1,"4482","UMCA","Alive",1,NA,25,0,36.8,0,0,"Out","HC",2014
"195","JROTH03","4/8/2014 0:00:00",5,"779","QUAG","Dead",NA,4,NA,0,22.3,0,0,"In","",2014
"196","JROTH03","4/8/2014 0:00:00",2,"288","UMCA","Alive",1,NA,149,0,8.9,0,0,"In","",2014
"197","JROTH03","4/8/2014 0:00:00",3,"249","UMCA","Alive",1,NA,77,0,15.3,0,0,"In","",2014
"198","JROTH03","4/8/2014 0:00:00",4,"291","UMCA","Alive",1,NA,51,0,28.2,0,0,"In","",2014
"199","JROTH03","4/8/2014 0:00:00",5,"292","UMCA","Alive",1,NA,3,0,28.9,0,0,"Out","",2014
"200","JROTH03","4/8/2014 0:00:00",5,"4481","UMCA","Alive",1,NA,91,0,10.8,0,0,"Out","",2014
