"","plot","year","tag","status","LIDE","QUAG","QUAG x QUWI","QUCH","QUKE","QUKE X QUAG","QUWI","UMCA","Unknown sp."
"218","ANN03",2014,"3179b","Alive",NA,NA,NA,NA,NA,NA,NA,3.9,NA
"219","ANN03",2014,"3180","Alive",NA,NA,NA,NA,NA,NA,NA,25.1,NA
"220","ANN03",2014,"4838","Alive",NA,NA,NA,NA,NA,NA,NA,2,NA
"221","ANN03",2014,"524","Alive",NA,NA,NA,NA,NA,NA,NA,4.8,NA
"222","ANN03",2014,"5273","Alive",NA,NA,NA,NA,NA,NA,NA,2.1,NA
"223","ANN03",2014,"537","Alive",NA,NA,NA,NA,NA,NA,NA,13,NA
"224","ANN03",2014,"5530","Alive",NA,NA,NA,NA,NA,NA,NA,2.3,NA
"225","ANN03",2014,"5536","Alive",NA,NA,NA,NA,NA,NA,NA,6.5,NA
"226","ANN03",2014,"5537","Alive",NA,NA,NA,NA,NA,NA,NA,2.4,NA
"227","ANN03",2014,"5539","Alive",NA,NA,NA,NA,NA,NA,NA,8.5,NA
"228","ANN03",2014,"5574","Dead",NA,NA,NA,NA,NA,NA,NA,4.1,NA
"229","ANN03",2014,"5592","Alive",NA,NA,NA,NA,NA,NA,NA,8,NA
"230","ANN03",2014,"5593","Alive",NA,NA,NA,NA,NA,NA,NA,3.5,NA
"231","ANN03",2014,"5634","Alive",NA,NA,NA,NA,NA,NA,NA,9.3,NA
"232","ANN03",2014,"5656","Alive",NA,NA,NA,NA,NA,NA,NA,3.9,NA
"233","ANN03",2014,"5657","Alive",NA,NA,NA,NA,NA,NA,NA,6.8,NA
"234","ANN03",2014,"5658","Alive",NA,NA,NA,NA,NA,NA,NA,4.5,NA
"235","ANN03",2014,"5659","Alive",NA,NA,NA,NA,NA,NA,NA,10.5,NA
"236","ANN03",2014,"5660","Alive",NA,NA,NA,NA,NA,NA,NA,2.5,NA
"237","ANN03",2014,"5661","Alive",NA,NA,NA,NA,NA,NA,NA,2.8,NA
"238","ANN03",2014,"5662","Alive",NA,NA,NA,NA,NA,NA,NA,4.1,NA
"239","ANN03",2014,"573","Alive",NA,NA,NA,NA,NA,NA,NA,15.8,NA
"240","ANN03",2014,"574","Dead",NA,NA,NA,NA,NA,NA,NA,8.3,NA
"241","ANN03",2014,"601","Alive",NA,NA,NA,NA,NA,NA,NA,15.1,NA
"242","ANN03",2014,"602","Alive",NA,NA,NA,NA,NA,NA,NA,6.7,NA
"243","ANN03",2014,"612","Alive",NA,NA,NA,NA,NA,NA,NA,7.3,NA
"244","ANN03",2014,"614","Alive",NA,NA,NA,NA,NA,NA,NA,22.9,NA
"245","ANN03",2014,"615","Alive",NA,NA,NA,NA,NA,NA,NA,5.2,NA
"246","ANN03",2014,"617","Alive",NA,NA,NA,NA,NA,NA,NA,2.2,NA
"247","ANN03",2014,"621","Alive",NA,NA,NA,NA,NA,NA,NA,10.8,NA
"248","ANN03",2014,"622","Dead",NA,NA,NA,NA,NA,NA,NA,2.9,NA
"249","ANN03",2014,"626","Alive",NA,NA,NA,NA,NA,NA,NA,4.6,NA
"250","ANN03",2014,"635","Alive",NA,NA,NA,NA,NA,NA,NA,2.5,NA
"251","ANN03",2014,"638","Alive",NA,NA,NA,NA,NA,NA,NA,2.6,NA
"252","ANN03",2014,"642","Alive",NA,NA,NA,NA,NA,NA,NA,6.5,NA
"253","ANN03",2014,"651","Alive",NA,NA,NA,NA,NA,NA,NA,58.3,NA
"254","ANN03",2014,"663","Alive",NA,NA,NA,NA,NA,NA,NA,9.4,NA
"255","ANN03",2014,"669","Alive",NA,NA,NA,NA,NA,NA,NA,16.5,NA
"256","ANN03",2014,"6715","Alive",NA,NA,NA,NA,NA,NA,NA,2.4,NA
"257","ANN03",2014,"674","Alive",NA,NA,NA,NA,NA,NA,NA,7.6,NA
"258","ANN03",2014,"679","Alive",NA,NA,NA,NA,NA,NA,NA,12.8,NA
"259","ANN03",2014,"680","Alive",NA,NA,NA,NA,NA,NA,NA,13.8,NA
"260","ANN03",2014,"693","Alive",NA,NA,NA,NA,NA,NA,NA,43.5,NA
"261","ANN04",2003,"1500","Alive",NA,NA,NA,NA,60,NA,NA,NA,NA
"262","ANN04",2004,"3074","Alive",NA,NA,NA,NA,32.9,NA,NA,NA,NA
"263","ANN04",2004,"3075","Alive",NA,NA,NA,NA,23.6,NA,NA,NA,NA
