"","plotid","hrs04_14_20","hrs04_abv25","hrs04_blw10","hrs05_14_20","hrs05_abv25","hrs05_blw10","hrs06_14_20","hrs06_abv25","hrs06_blw10","hrs07_14_20","hrs07_abv25","hrs07_blw10","hrs08_14_20","hrs08_abv25","hrs08_blw10","hrs09_14_20","hrs09_abv25","hrs09_blw10","hrs10_14_20","hrs10_abv25","hrs10_blw10","hrs11_14_20","hrs11_abv25","hrs11_blw10","hrs12_14_20","hrs12_abv25","hrs12_blw10","hrs14_14_20","hrs14_abv25","hrs14_blw10"
"96","JLSP16",780,25,3144,664,2,2719,811,40,2944,970,11,2533,686,31,2711,956,75,2524,598,NA,3165,744,10,3143,663,45,2718,1260,9,1519
"97","JLSP17",722,27,3216,571,3,3022,576,21,3098,880,9,2699,587,26,2929,843,54,2744,477,NA,3427,655,7,3297,648,32,3035,943,1,1739
"98","JOHNS01",757,55,3013,535,5,2955,631,18,2941,773,20,2673,598,44,2975,754,50,2660,463,NA,3429,608,9,3161,662,32,2990,816,10,1599
"99","JOHNS02",800,39,3091,710,4,2697,827,33,2920,1003,11,2493,726,49,2586,981,75,2466,624,NA,3134,813,8,3162,704,30,2618,1439,9,1450
"100","JROTH01",782,14,3202,662,NA,2781,825,11,2884,1036,6,2570,636,14,2719,975,43,2592,531,NA,3299,707,6,3222,640,16,2778,1373,NA,1516
"101","JROTH02",760,28,3138,599,NA,2781,736,25,2926,921,9,2579,614,23,2861,871,41,2619,495,NA,3371,830,6,3133,588,24,2888,1123,1,1561
"102","JROTH03",746,13,3315,695,NA,2865,749,32,3092,872,4,2737,685,49,2802,956,40,2625,574,NA,3415,720,7,3404,560,32,2936,1322,5,1677
"103","JROTH04",771,19,3310,647,4,2943,720,28,3075,925,5,2683,590,18,2966,894,51,2704,503,NA,3510,683,12,3386,653,28,3088,1031,6,1723
"104","JROTH05",751,37,3192,733,4,2724,716,47,2982,1444,10,2244,603,6,2878,849,47,2710,531,3,3138,930,148,2625,624,28,2962,1121,5,1525
"105","KLASS01",744,73,2898,751,23,2733,698,54,2812,933,37,2457,774,25,2678,878,94,2569,616,7,3261,786,23,3080,857,79,2807,1023,16,1680
"106","KLASS02",739,57,2904,676,5,2718,691,29,2820,920,29,2422,755,10,2686,867,68,2515,570,NA,3232,725,10,3069,778,46,2828,1051,14,1530
"107","KUNDE01",714,236,2318,786,39,2327,747,87,2424,876,109,2298,749,75,2630,882,319,2226,809,68,2472,798,59,2618,972,135,2226,997,65,1354
"108","KUNDE02",736,111,2508,747,27,2495,670,59,2542,852,66,2401,750,29,2698,849,100,2413,622,21,2957,737,40,2750,892,96,2457,957,38,1488
"109","KUNDE03",753,90,2721,806,21,2476,828,46,2675,991,51,2370,746,36,2692,915,88,2590,633,5,3026,829,27,2912,867,81,2608,1213,21,1402
"110","KUNDE04",709,106,2722,691,25,2631,653,50,2697,830,58,2441,660,52,2812,813,80,2778,550,6,3235,700,46,2959,799,81,2620,915,26,1675
"111","LARS01",775,159,2430,716,15,2952,758,58,3036,961,29,2654,660,68,2849,914,84,2550,548,9,3441,802,42,3228,749,71,2923,1034,24,1631
"112","LAZY04",799,89,2544,723,15,2393,818,44,2598,970,42,2239,792,35,2505,944,84,2274,679,3,2885,861,28,2714,925,73,2239,1279,12,1183
"113","LAZY05",752,87,2622,699,25,2490,806,46,2597,917,50,2327,726,45,2619,944,92,2382,624,4,2980,847,28,2821,832,82,2442,1212,21,1367
"114","LINS01",762,42,2937,657,5,2781,769,19,2850,938,14,2523,685,8,2820,875,63,2620,536,NA,3182,686,1,3173,750,24,2822,1146,NA,1492
"115","LUPIN01",749,50,2868,888,11,2500,867,37,2748,1158,8,2247,887,24,2388,1049,110,2356,786,1,2911,825,31,3016,929,93,2445,1367,36,1347
"116","MACKI01",692,145,2503,850,44,2540,777,70,2587,838,105,2699,684,47,2950,753,129,2689,640,39,2929,705,65,2804,831,115,2725,789,54,2200
"117","MCCOR01",666,71,2949,673,22,2867,653,49,2923,784,35,2716,582,48,3047,807,75,2626,511,1,3246,674,19,3112,720,69,2921,874,19,1671
"118","MCCOR02",755,60,2965,807,13,2615,786,54,2799,979,32,2479,738,59,2675,865,75,2529,661,1,3134,863,19,3074,774,53,2702,1233,14,1444
"119","MCCOR05",752,62,3048,708,18,2739,725,58,2884,931,32,2566,679,77,2774,838,75,2534,568,6,3151,799,20,3101,700,69,2797,1171,21,1459
"120","MCNEIL01",613,58,3144,528,16,3118,529,39,3191,665,42,2867,520,37,3161,683,68,2999,441,NA,3533,509,11,3284,551,56,3160,680,13,2107
