"PlotID","Date","ClusterID","TagNumber","SpeciesID","StemStatus","AliveClass","DeadClass","SympLeafCount","CankerPresent","DBH","LideFoliarSymp","SOD_Dead","Location"
"ANN01",4/30/2010 0:00:00,19,"884","UMCA","Alive",1,,74,0,,0,0,"In"
"ANN01",4/30/2010 0:00:00,1,"862","UMCA","Alive",1,,43,0,,0,0,"Out"
"ANN01",4/30/2010 0:00:00,3,"841","UMCA","Alive",1,,59,0,,0,0,"In"
"ANN01",4/30/2010 0:00:00,12,"879","UMCA","Alive",1,,41,0,,0,0,"In"
"ANN01",4/30/2010 0:00:00,13,"815","UMCA","Alive",1,,43,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,13,"875","UMCA","Alive",1,,69,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,3,"4541","UMCA","Alive",2,,87,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,7,"807","UMCA","Alive",1,,43,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,14,"834","UMCA","Alive",2,,196,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,11,"887","UMCA","Alive",1,,21,0,,0,0,"Out"
"ANN01",4/20/2011 0:00:00,6,"832","UMCA","Alive",1,,162,0,,0,0,"Out"
"ANN01",4/20/2011 0:00:00,13,"815","UMCA","Alive",1,,126,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,5,"809","UMCA","Alive",2,,80,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,5,"812","UMCA","Alive",2,,98,0,,0,0,"Out"
"ANN01",4/20/2011 0:00:00,9,"4540","UMCA","Alive",1,,78,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,12,"879","UMCA","Alive",2,,199,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,15,"844","UMCA","Alive",2,,68,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,2,"889","UMCA","Alive",1,,143,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,6,"827","UMCA","Dead",,2,,0,,0,0,"Out"
"ANN01",4/20/2011 0:00:00,4,"816","UMCA","Alive",1,,148,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,3,"841","UMCA","Alive",1,,151,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,19,"884","UMCA","Alive",1,,158,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,10,"814","UMCA","Alive",1,,116,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,8,"838","UMCA","Alive",1,,140,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,20,"826","UMCA","Alive",2,,172,0,,0,0,"Out"
"ANN01",4/20/2011 0:00:00,18,"836","UMCA","Alive",1,,48,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,18,"828","UMCA","Alive",1,,76,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,9,"900","UMCA","Alive",1,,51,0,,0,0,"In"
"ANN01",4/20/2011 0:00:00,16,"822","UMCA","Alive",1,,109,0,,0,0,"Out"
"ANN01",4/20/2011 0:00:00,1,"862","UMCA","Alive",1,,161,0,,0,0,"Out"
"ANN01",5/7/2012 0:00:00,12,"879","UMCA","Alive",1,,72,0,8.20,0,0,"In"
"ANN01",5/7/2012 0:00:00,2,"889","UMCA","Alive",1,,72,0,14.20,0,0,"In"
"ANN01",5/7/2012 0:00:00,8,"838","UMCA","Alive",1,,72,0,4.40,0,0,"In"
"ANN01",5/7/2012 0:00:00,20,"826","UMCA","Alive",2,,64,0,6.60,0,0,"Out"
"ANN01",5/7/2012 0:00:00,18,"836","UMCA","Alive",2,,6,0,10.60,0,0,"In"
"ANN01",5/7/2012 0:00:00,18,"828","UMCA","Alive",2,,60,0,16.30,0,0,"In"
"ANN01",5/7/2012 0:00:00,9,"900","UMCA","Alive",1,,66,0,13.70,0,0,"In"
"ANN01",5/7/2012 0:00:00,16,"822","UMCA","Alive",1,,50,0,24.70,0,0,"Out"
"ANN01",5/7/2012 0:00:00,11,"887","UMCA","Alive",1,,73,0,18.00,0,0,"Out"
"ANN01",5/7/2012 0:00:00,15,"844","UMCA","Alive",2,,56,0,10.70,0,0,"In"
